date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:05	42937/42937	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2031%20May%202021%2000:51:06%20GMT	https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95	C:/Users/cliffort/Documents/biotoxgold/biotoxnutrition.com/biotox-gold/index3a03.html	(from )
20:51:05	29/29	U-----	200	untouched ('OK')	text/plain	date:Mon,%2004%20Feb%202019%2014:38:06%20GMT	https://biotoxnutrition.com/robots.txt		(from )
20:51:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2031%20May%202021%2000:51:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/cliffort/Documents/biotoxgold/www.googletagmanager.com/gtm.25445.delayed	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:51:14	90050/90050	U--MC-	200	updated ('OK')	application/javascript	date:Mon,%2031%20May%202021%2000:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-PB5NJPK	C:/Users/cliffort/Documents/biotoxgold/www.googleoptimize.com/optimize00b3.js	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:51:16	94624/94624	U--M-Z	200	updated ('OK')	application/x-javascript	date:Mon,%2031%20May%202021%2000:51:15%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/cliffort/Documents/biotoxgold/connect.facebook.net/en_US/fbevents.js	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:52:14	3261/3261	U-----	200	untouched ('')	image/png	date:Wed,%2023%20Sep%202020%2008:39:32%20GMT	https://biotoxnutrition.com/assets/images/apple-icon-72x72.png	C:/Users/cliffort/Documents/biotoxgold/biotoxnutrition.com/assets/images/apple-icon-72x72.png	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:52:44	12795/12795	U-----	200	untouched ('OK')	text/css	date:Thu,%2031%20Dec%202020%2016:11:23%20GMT	https://biotoxnutrition.com/assets/css/jquery.fancybox.min.css	C:/Users/cliffort/Documents/biotoxgold/biotoxnutrition.com/assets/css/jquery.fancybox.min.css	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:52:45	33891/33891	U-----	200	untouched ('OK')	text/css	date:Mon,%2011%20Jan%202021%2016:33:52%20GMT	https://biotoxnutrition.com/assets/css/main.min.css?v=1.3.1	C:/Users/cliffort/Documents/biotoxgold/biotoxnutrition.com/assets/css/main.minc8c4.css	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:52:55	2886/2886	U-----	200	untouched ('')	image/png	date:Wed,%2023%20Sep%202020%2008:39:39%20GMT	https://biotoxnutrition.com/assets/images/ic_sound_white.png	C:/Users/cliffort/Documents/biotoxgold/biotoxnutrition.com/assets/images/ic_sound_white.png	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
20:53:54	2946/2946	U-----	200	untouched ('')	image/png	date:Wed,%2023%20Sep%202020%2008:39:39%20GMT	https://biotoxnutrition.com/assets/images/icon-cta.png	C:/Users/cliffort/Documents/biotoxgold/biotoxnutrition.com/assets/images/icon-cta.png	(from https://biotoxnutrition.com/biotox-gold/?hop=0&vendor=npounder95)
